"id","Year","File","createdAt","updatedAt","publishedAt","createdBy","updatedBy"
"1","2019","{""id"":2,""name"":""Agroecology Transitions session-21.8.2020.docx"",""alternativeText"":""Agroecology Transitions session-21.8.2020.docx"",""caption"":""Agroecology Transitions session-21.8.2020.docx"",""width"":null,""height"":null,""formats"":null,""hash"":""Agroecology_Transitions_session_21_8_2020_f473f9ed25"",""ext"":"".docx"",""mime"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document"",""size"":27.09,""url"":""/uploads/Agroecology_Transitions_session_21_8_2020_f473f9ed25.docx"",""previewUrl"":null,""provider"":""local"",""provider_metadata"":null,""createdAt"":""2022-08-26T17:33:06.682Z"",""updatedAt"":""2022-08-26T17:33:06.682Z"",""folderPath"":""/""}","2022-08-26T17:33:17.102Z","2022-08-26T17:33:18.730Z","2022-08-26T17:33:18.725Z","undefined","undefined"
"2","2020","{""id"":2,""name"":""Agroecology Transitions session-21.8.2020.docx"",""alternativeText"":""Agroecology Transitions session-21.8.2020.docx"",""caption"":""Agroecology Transitions session-21.8.2020.docx"",""width"":null,""height"":null,""formats"":null,""hash"":""Agroecology_Transitions_session_21_8_2020_f473f9ed25"",""ext"":"".docx"",""mime"":""application/vnd.openxmlformats-officedocument.wordprocessingml.document"",""size"":27.09,""url"":""/uploads/Agroecology_Transitions_session_21_8_2020_f473f9ed25.docx"",""previewUrl"":null,""provider"":""local"",""provider_metadata"":null,""createdAt"":""2022-08-26T17:33:06.682Z"",""updatedAt"":""2022-08-26T17:33:06.682Z"",""folderPath"":""/""}","2022-08-29T05:44:58.919Z","2022-08-29T05:45:01.400Z","2022-08-29T05:45:01.398Z","undefined","undefined"
